Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
17,2,2864,100,010,787.840200,786.096939,2.077984,1.372568,0.619089,0.221271,5.000000,1.000000,1.000000,4.000000,2.000000,3.000000,0.000000,8.000000
17,3,2864,100,010,787.840200,786.096939,2.077984,1.372568,0.619089,0.221271,5.000000,1.000000,1.000000,4.000000,2.000000,3.000000,0.000000,8.000000
17,4,2864,100,010,787.840200,786.096939,2.077984,1.372568,0.619089,0.221271,5.000000,1.000000,1.000000,4.000000,2.000000,3.000000,0.000000,8.000000
18,1,3108,100,011,870.770748,875.289404,1.784706,1.679589,4.186188,0.518926,5.000000,1.000000,-1.000000,4.000000,-3.000000,2.000000,7.000000,1.000000
18,2,3108,100,011,870.770748,875.289404,1.784706,1.679589,4.186188,0.518926,5.000000,1.000000,-1.000000,4.000000,-3.000000,2.000000,7.000000,1.000000
18,3,3108,100,011,870.770748,875.289404,1.784706,1.679589,4.186188,0.518926,5.000000,1.000000,-1.000000,4.000000,-3.000000,2.000000,7.000000,1.000000
18,4,3108,100,011,870.770748,875.289404,1.784706,1.679589,4.186188,0.518926,5.000000,1.000000,-1.000000,4.000000,-3.000000,2.000000,7.000000,1.000000
19,1,4688,100,110,1326.888759,1320.154382,0.184544,0.822296,1.410987,0.507531,-4.000000,4.000000,-7.000000,-1.000000,5.000000,2.000000,-2.000000,3.000000
19,2,4688,100,110,1326.888759,1320.154382,0.184544,0.822296,1.410987,0.507531,-4.000000,4.000000,-7.000000,-1.000000,5.000000,2.000000,-2.000000,3.000000
19,3,4688,100,110,1326.888759,1320.154382,0.184544,0.822296,1.410987,0.507531,-4.000000,4.000000,-7.000000,-1.000000,5.000000,2.000000,-2.000000,3.000000
19,4,4688,100,110,1326.888759,1320.154382,0.184544,0.822296,1.410987,0.507531,-4.000000,4.000000,-7.000000,-1.000000,5.000000,2.000000,-2.000000,3.000000
20,1,1008,100,111,290.256916,284.670620,1.264065,0.575072,0.252971,1.924604,2.000000,1.000000,3.000000,-2.000000,1.000000,1.000000,4.000000,0.000000
